"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Percentage change (yearly) All property types","Percentage change (yearly) Detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (yearly) Terraced houses","Percentage change (yearly) Flats and maisonettes","Pivotable date"
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-06,70937,monthly,7.6,8.41,8.0,8.05,5.52,2010-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-07,76003,monthly,6.77,8.66,6.82,6.56,4.86,2010-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-08,69123,monthly,5.73,7.49,6.24,5.06,3.96,2010-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-09,64886,monthly,4.63,6.62,4.8,4.35,2.5,2010-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-10,66726,monthly,2.78,4.51,2.74,2.22,1.66,2010-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-11,63565,monthly,1.21,3.06,1.72,-0.19,0.44,2010-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2010-12,63541,monthly,0.37,2.92,0.21,-1.1,-0.15,2010-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-01,42399,monthly,-0.1,0.72,-0.43,-0.95,0.71,2011-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-02,44207,monthly,-0.88,0.3,-1.68,-1.77,0.25,2011-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-03,52889,monthly,-1.33,-0.02,-1.92,-1.98,-1.02,2011-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-04,57449,monthly,-1.06,-0.14,-2.04,-1.56,0.06,2011-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-05,55691,monthly,-1.98,-1.86,-2.13,-2.71,-0.7,2011-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-06,65290,monthly,-2.29,-2.02,-2.36,-3.15,-1.17,2011-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-07,70316,monthly,-2.05,-2.59,-2.55,-2.61,0.34,2011-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-08,72144,monthly,-1.99,-1.91,-2.41,-2.18,-1.11,2011-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-09,71811,monthly,-1.98,-1.94,-2.18,-2.38,-1.08,2011-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-10,65175,monthly,-1.97,-1.6,-2.11,-2.57,-1.27,2011-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-11,67798,monthly,-0.74,-1.38,-1.0,-0.99,0.94,2011-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2011-12,70770,monthly,-0.98,-1.32,-1.04,-1.36,0.17,2011-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-01,49493,monthly,-0.83,-1.68,-0.23,-0.75,-0.83,2012-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-02,50099,monthly,-0.58,-1.24,-0.08,-0.14,-1.22,2012-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-03,69452,monthly,0.18,-2.13,1.1,1.18,0.2,2012-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-04,50094,monthly,-0.22,-0.39,0.1,-0.53,-0.04,2012-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-05,59800,monthly,0.55,0.24,0.44,0.78,0.74,2012-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-06,68568,monthly,1.37,0.77,0.81,2.27,1.54,2012-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-07,66631,monthly,0.49,0.35,0.52,0.88,-0.05,2012-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-08,73921,monthly,0.55,-0.67,0.19,1.51,1.13,2012-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-09,60043,monthly,0.44,-0.68,0.28,1.07,1.11,2012-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-10,66842,monthly,0.84,-0.79,0.37,1.61,2.48,2012-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-11,72293,monthly,0.88,-0.16,0.67,2.22,0.39,2012-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2012-12,63795,monthly,1.07,0.55,0.41,1.94,1.38,2012-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-01,49129,monthly,1.09,0.24,0.88,1.43,2.13,2013-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-02,50648,monthly,1.34,0.38,0.84,1.64,3.04,2013-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-03,62193,monthly,1.65,2.59,0.91,1.18,2.36,2013-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-04,58521,monthly,1.48,0.68,1.13,2.02,2.28,2013-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-05,75384,monthly,1.69,0.83,1.41,2.11,2.64,2013-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-06,75229,monthly,1.53,1.27,1.44,1.39,2.33,2013-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-07,82886,monthly,2.28,1.35,1.93,2.48,3.81,2013-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-08,89695,monthly,2.97,2.31,2.64,2.76,4.79,2013-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-09,79217,monthly,3.41,3.09,2.77,3.17,5.23,2013-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-10,88422,monthly,3.72,3.86,3.28,3.27,4.97,2013-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-11,95708,monthly,4.21,3.52,3.79,3.7,6.67,2013-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2013-12,90540,monthly,5.41,3.87,5.12,5.08,8.48,2013-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-01,75540,monthly,6.24,5.3,4.75,6.26,10.02,2014-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-02,74421,monthly,6.7,5.73,5.85,6.37,10.17,2014-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-03,78289,monthly,6.44,4.43,5.83,6.49,10.26,2014-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-04,82048,monthly,7.75,6.18,7.03,7.95,10.88,2014-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-05,90739,monthly,8.32,6.78,7.34,8.44,11.86,2014-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-06,93994,monthly,8.35,6.8,7.65,7.91,12.4,2014-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-07,97288,monthly,8.66,7.18,7.86,8.76,11.88,2014-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-08,101680,monthly,9.06,7.66,7.99,9.02,12.84,2014-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-09,90912,monthly,9.11,7.26,8.39,9.2,12.7,2014-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-10,100184,monthly,9.39,7.47,8.55,9.76,12.85,2014-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-11,86142,monthly,8.43,7.39,7.55,8.36,11.44,2014-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2014-12,88917,monthly,7.7,7.56,6.75,7.47,9.83,2014-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-01,66819,monthly,7.01,6.28,6.8,6.99,7.76,2015-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-02,67070,monthly,6.65,6.15,6.08,6.69,7.56,2015-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-03,77669,monthly,6.68,7.61,6.11,5.91,7.08,2015-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-04,75240,monthly,5.28,5.19,5.09,5.15,5.44,2015-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-05,86144,monthly,5.3,5.25,5.4,4.95,5.41,2015-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-06,96979,monthly,5.2,5.42,5.21,5.45,4.16,2015-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-07,106216,monthly,5.5,5.45,5.65,5.26,5.33,2015-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-08,96533,monthly,5.23,5.44,5.26,5.08,4.78,2015-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-09,94554,monthly,5.34,6.05,5.25,4.93,4.82,2015-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-10,104451,monthly,5.63,5.71,5.75,5.84,4.71,2015-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-11,93854,monthly,6.81,6.8,6.67,6.92,6.44,2015-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2015-12,94397,monthly,6.91,7.3,6.94,6.93,6.02,2015-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-01,70959,monthly,7.76,7.35,7.99,7.67,8.1,2016-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-02,75907,monthly,7.72,7.58,7.45,7.75,8.2,2016-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-03,138124,monthly,8.42,8.16,7.37,8.65,9.82,2016-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-04,63854,monthly,7.88,7.14,8.08,8.25,7.94,2016-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-05,72174,monthly,7.97,6.81,7.61,8.54,9.01,2016-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-06,88475,monthly,8.17,8.27,7.64,7.98,9.07,2016-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-07,93197,monthly,7.49,6.93,7.28,7.82,7.94,2016-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-08,94407,monthly,6.52,6.06,6.41,6.67,7.02,2016-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-09,91720,monthly,6.14,5.51,6.52,6.14,6.41,2016-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-10,85296,monthly,5.65,5.83,5.56,4.81,6.83,2016-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-11,88926,monthly,5.33,5.83,5.19,4.49,6.19,2016-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2016-12,94685,monthly,5.16,5.04,5.04,4.77,6.1,2016-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-01,68663,monthly,4.76,5.42,4.31,4.25,5.34,2017-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-02,71432,monthly,4.93,4.89,4.72,4.22,6.33,2017-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-03,89388,monthly,3.64,3.45,4.49,3.22,3.41,2017-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-04,75980,monthly,4.89,5.88,4.25,3.61,6.5,2017-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-05,83671,monthly,4.31,5.19,4.44,2.88,5.14,2017-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-06,101940,monthly,4.2,3.98,4.14,3.5,5.61,2017-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-07,92257,monthly,4.46,4.87,4.32,3.31,5.85,2017-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-08,98938,monthly,4.92,4.95,4.68,4.46,5.92,2017-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-09,94287,monthly,4.69,5.07,4.52,4.41,4.92,2017-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-10,92827,monthly,5.13,5.16,5.47,5.21,4.56,2017-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-11,92234,monthly,4.34,3.76,4.75,4.64,4.09,2017-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2017-12,91613,monthly,4.56,4.32,5.15,4.8,3.77,2017-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-01,68243,monthly,4.32,4.32,4.86,4.22,3.77,2018-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-02,69000,monthly,4.37,5.05,5.04,4.48,2.59,2018-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-03,81851,monthly,3.97,4.14,4.68,4.64,1.91,2018-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-04,71864,monthly,3.32,3.25,4.32,4.12,1.09,2018-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-05,81587,monthly,3.13,4.14,3.7,3.98,0.1,2018-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-06,96021,monthly,2.94,3.48,4.12,3.05,0.7,2018-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-07,89224,monthly,2.88,3.98,3.69,3.39,-0.12,2018-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-08,102001,monthly,2.73,3.7,3.77,2.99,-0.04,2018-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-09,83602,monthly,2.92,3.58,3.96,3.22,0.39,2018-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-10,92636,monthly,2.72,3.45,3.31,3.02,0.64,2018-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-11,99027,monthly,2.57,3.49,3.33,3.09,-0.21,2018-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2018-12,83837,monthly,1.95,2.49,2.73,1.93,0.38,2018-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-01,65597,monthly,1.68,2.8,2.46,1.8,-0.87,2019-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-02,67756,monthly,1.16,1.7,2.16,1.39,-1.16,2019-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-03,78955,monthly,1.49,1.79,2.47,1.42,-0.12,2019-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-04,73561,monthly,1.26,1.8,1.91,1.36,-0.45,2019-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-05,82426,monthly,0.98,1.21,1.85,1.42,-1.14,2019-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-06,84287,monthly,0.74,1.04,1.27,1.07,-0.81,2019-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-07,89176,monthly,0.62,0.5,1.08,0.95,-0.31,2019-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-08,95774,monthly,0.63,0.97,1.09,1.21,-1.25,2019-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-09,84025,monthly,0.9,0.49,0.85,1.48,0.65,2019-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-10,90625,monthly,0.74,0.34,1.7,1.11,-0.66,2019-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-11,93439,monthly,0.81,0.9,1.67,1.11,-0.96,2019-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2019-12,84958,monthly,0.9,0.97,1.26,1.63,-0.77,2019-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-01,68585,monthly,1.59,0.94,2.2,2.4,0.37,2020-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-02,67463,monthly,1.26,1.04,1.84,2.26,-0.75,2020-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-03,69201,monthly,2.46,2.4,2.55,3.04,1.56,2020-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-04,28356,monthly,0.69,1.77,0.98,0.99,-1.61,2020-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-05,36380,monthly,1.07,1.49,1.49,0.74,0.37,2020-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-06,53436,monthly,2.02,2.09,2.53,2.93,-0.09,2020-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-07,63981,monthly,1.75,2.13,2.49,2.07,-0.26,2020-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-08,67744,monthly,2.41,2.73,3.38,2.41,0.56,2020-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-09,78108,monthly,3.43,4.28,4.3,3.66,0.73,2020-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-10,97907,monthly,4.58,5.63,4.48,5.53,1.91,2020-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-11,96254,monthly,6.02,6.45,5.8,6.97,4.34,2020-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-12,104608,monthly,6.99,8.06,7.23,7.92,3.84,2020-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-01,78289,monthly,7.65,8.75,7.94,8.33,4.77,2021-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-02,96081,monthly,8.23,9.17,8.65,9.03,5.13,2021-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-03,135666,monthly,8.95,9.86,9.36,10.2,5.26,2021-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-04,87610,monthly,8.64,9.42,9.02,9.33,5.92,2021-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-05,78517,monthly,8.54,9.97,8.95,9.79,4.14,2021-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-06,163313,monthly,13.16,14.86,13.27,14.91,8.07,2021-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-07,62652,monthly,7.2,9.0,7.6,7.08,4.31,2021-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-08,78208,monthly,9.22,11.41,9.55,9.43,5.35,2021-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-09,123685,monthly,11.71,13.45,12.59,12.69,6.5,2021-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-10,60219,monthly,8.98,13.27,9.4,7.41,4.8,2021-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-11,70207,monthly,9.35,12.8,10.28,8.04,5.14,2021-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-12,70342,monthly,9.1,12.03,9.88,8.62,4.51,2021-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2022-01,50950,monthly,9.52,11.94,10.56,9.38,4.74,2022-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2022-02,56103,monthly,10.5,13.24,11.21,9.52,7.02,2022-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2022-03,57113,monthly,9.48,12.83,10.82,8.4,4.28,2022-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2022-04,,monthly,11.94,14.25,12.9,12.11,6.84,2022-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2022-05,,monthly,12.82,14.88,13.59,13.01,8.34,2022-05-01
